20 PA3-J-Output.txt
	19.7	3.06	50.58		21.67	2.24	50.91	2.164
	24.4	10.96	27.18		26.18	11.51	27.69	1.933
	8.69	16.56	-10.86		9.65	16.91	-9.73	1.525
	-18.47	-1.62	-0.32		-17.76	-1.85	-0.62	0.807
	-40.71	-10.98	-40.88		-46.91	-9.35	-33.87	9.505
	-25.18	15.95	-26.95		-19.78	18.13	-26.84	5.827
	-14.67	5.46	9.27		-5.19	5.66	14.53	10.844
	37.48	5.33	-12.51		37.82	5.48	-12.68	0.405
	25.04	12.4	27.34		25.86	12.66	27.57	0.891
	20.64	22.41	24.94		20.06	21.48	24.8	1.097
	-2.5	-7.65	16.92		-3.21	-9.65	17.22	2.136
	10.17	27.62	-6.92		13.23	30.62	-4.97	4.702
	-28.1	-26.13	-18.53		-29.33	-29.1	-17.45	3.39
	32.28	18.9	4.38		32.18	18.82	4.37	0.126
	3.84	-11.02	-22.26		5.16	-11.57	-23.38	1.812
	-9.25	10.69	35.74		-9.14	10.75	35.7	0.129
	-10.19	-3.24	16.72		-9.66	-3.14	16.6	0.551
	4.71	-4.3	62.62		4.71	-4.28	63.4	0.781
	-2.78	25.92	29.73		-3.11	23.97	29.28	2.029
	-43.05	-13.95	-20.1		-42.63	-13.85	-20.23	0.458
