200 PA4-B-Output.txt
    6.68    -4.79    63.42		    6.68    -4.79    63.42	   0.002
  -37.19   -17.17   -41.07		  -37.19   -17.17   -41.07	     0.0
   28.12    19.26    12.82		   28.12    19.26    12.82	   0.001
  -32.92   -28.12   -19.42		  -32.92   -28.12   -19.42	     0.0
   23.57    -3.60   -26.38		   23.57    -3.60   -26.38	   0.001
   18.22    23.91    15.84		   18.22    23.91    15.84	   0.003
   -4.35   -10.85     7.34		   -4.35   -10.85     7.34	     0.0
  -27.48    11.10   -23.72		  -27.48    11.11   -23.72	   0.002
   -9.96    16.47    14.87		   -9.96    16.47    14.87	   0.001
  -28.21   -31.23   -30.93		  -28.21   -31.23   -30.93	     0.0
   38.72     4.35   -11.65		   38.72     4.35   -11.65	     0.0
   34.63    -2.55   -20.18		   34.63    -2.55   -20.18	   0.002
   37.33    -1.87     4.62		   37.34    -1.88     4.62	   0.002
  -31.25   -29.71   -31.44		  -31.25   -29.71   -31.44	   0.002
   22.03    25.56    -4.66		   22.03    25.55    -4.66	   0.003
   -6.89    -1.89    31.30		   -6.89    -1.89    31.30	     0.0
   -4.37    -9.64    13.64		   -4.37    -9.64    13.64	   0.003
   -8.42    21.79    35.55		   -8.42    21.79    35.55	     0.0
  -21.74    -5.93    -4.67		  -21.74    -5.93    -4.67	   0.001
  -20.99   -29.50   -14.68		  -20.99   -29.50   -14.68	   0.002
  -30.47     8.58   -32.78		  -30.47     8.58   -32.78	   0.001
   -1.14    18.45    46.66		   -1.14    18.45    46.66	   0.001
    8.90    -6.81   -21.85		    8.90    -6.81   -21.85	   0.001
  -26.12   -22.38    -7.90		  -26.12   -22.38    -7.90	   0.002
   -7.33   -25.34   -16.98		   -7.34   -25.34   -16.98	   0.004
  -21.10   -14.53   -47.97		  -21.10   -14.53   -47.97	   0.002
   -7.04     6.77    58.16		   -7.04     6.77    58.16	   0.002
   -5.99     2.27   -34.93		   -5.99     2.27   -34.93	   0.002
   35.56    -1.41   -18.96		   35.56    -1.41   -18.96	   0.003
    2.01    19.61    45.31		    2.01    19.61    45.31	   0.001
   21.88     7.85    55.52		   21.88     7.85    55.52	   0.001
   -8.91    11.88    37.56		   -8.90    11.88    37.56	   0.003
    2.18    20.42    41.89		    2.18    20.42    41.89	   0.002
   10.60    -6.38    34.46		   10.60    -6.38    34.46	     0.0
   35.59     0.38    11.35		   35.59     0.38    11.35	   0.001
   24.73    20.21   -24.78		   24.73    20.21   -24.79	   0.002
